gene_id (Stringtie_gtf)	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DG1	DG2	DG3	S1	S2	S3	S4
MSTRG.31259_jg998	7749.826509	-3.298411765	0.200193616	-16.47610867	5.45E-61	3.28E-58	15473.9391	16239.52846	16060.61977	1690.690393	1346.646979	1959.063575	1478.297287
MSTRG.3663_jg25145	18808.4418	-4.732557348	0.287285037	-16.47338614	5.70E-61	3.37E-58	39856.72431	44638.3056	40876.06941	1628.788685	2211.27984	1207.173108	1240.751669
MSTRG.34214_jg31342	14043.09995	8.872946571	0.539179755	16.45637932	7.55E-61	4.37E-58	49.69790308	56.8888759	50.3494456	23348.55039	31311.67979	36458.90946	7025.623764
MSTRG.16978_jg10358	2426.619103	-5.794604125	0.35296323	-16.41701918	1.44E-60	8.21E-58	4893.255537	6179.928414	5513.690984	144.4373181	118.6331862	65.33668883	71.05159127
MSTRG.18770_jg23145	3112.576824	5.953486067	0.362913383	16.40470245	1.77E-60	9.86E-58	94.42601586	113.029214	52.90958691	5902.585757	3648.772052	5344.12631	6632.188833
MSTRG.14008_jg21449	9542.9748	-5.158344229	0.316598942	-16.29299264	1.11E-59	6.05E-57	17503.60147	21637.98336	25254.94056	590.6454614	501.2519309	443.8746479	868.526168
MSTRG.29792_jg9534	1827.537027	-6.525732083	0.402338909	-16.21949044	3.67E-59	1.97E-56	4034.475772	4569.07498	4005.767757	72.21865904	43.81946518	20.74180598	46.66074651
MSTRG.29455_jg9216	2195.644526	-7.861103122	0.487454083	-16.12685872	1.65E-58	8.71E-56	3633.910673	6936.700171	4711.513376	16.76504585	32.0630233	30.07561867	8.483772092
MSTRG.25796_jg36970.1	1421.441068	-4.498817168	0.278985623	-16.12562368	1.69E-58	8.73E-56	2997.777514	3679.812025	2718.016682	153.4646505	102.6016746	122.3766553	176.0382709
MSTRG.26568_jg16776	784.8643634	-7.12420089	0.442643105	-16.09468397	2.78E-58	1.42E-55	1533.677289	2042.01123	1865.489629	23.2131404	10.68767443	5.185451494	13.78612965
MSTRG.26780_jg16983	1086.659068	-4.351304297	0.271065809	-16.05257524	5.48E-58	2.75E-55	2790.040279	2510.595918	1839.034835	134.1203668	110.0830467	92.3010366	130.4379959
MSTRG.11651_jg34051	32938.96312	-6.690246066	0.417764763	-16.01438573	1.01E-57	4.99E-55	56928.94798	51320.5029	119384.5092	575.1700345	1089.074025	618.1058181	656.4318656
MSTRG.6218_jg15011	3169.192047	-12.39891315	0.77754503	-15.94623163	3.03E-57	1.47E-54	7332.428621	5821.378788	9025.35147	0	0	5.185451494	0
MSTRG.29032_jg8811	4544.385127	-4.009296386	0.252162291	-15.89966675	6.37E-57	3.03E-54	9410.794928	10391.95084	9574.075089	808.5910574	612.403745	464.6164539	548.2637715
MSTRG.13884_jg21333	872.0717708	-5.161468617	0.32491868	-15.88541669	8.00E-57	3.75E-54	2153.90712	1979.882589	1751.990031	39.97818625	83.36386058	49.78033434	45.600275
MSTRG.23801_jg13744	1007.616187	4.921665685	0.311741428	15.78765362	3.78E-56	1.75E-53	57.64956758	53.89472454	58.88324994	1330.886717	1320.99656	2270.190664	1960.811825
MSTRG.35613_jg18369	2534.094641	-5.109781215	0.324701417	-15.73686146	8.45E-56	3.84E-53	4882.321999	5933.659464	6262.105625	232.131404	160.3151165	101.6348493	166.4940273
MSTRG.17512_jg10850	1139.908489	4.823017073	0.306517019	15.73490792	8.72E-56	3.90E-53	79.51664493	49.40349749	77.65761949	1938.297224	1675.827351	1622.009227	2536.647856
MSTRG.35119_jg17897	1534.761397	-6.33117101	0.403260374	-15.69995817	1.51E-55	6.67E-53	3205.514749	4229.238801	3134.466334	18.05466476	53.43837217	58.07705674	44.53980348
MSTRG.22080_jg28238	13087.94089	-8.350609332	0.53681803	-15.55575421	1.45E-54	6.32E-52	36919.57824	26783.43248	27540.29337	60.61208883	97.25783735	179.4166217	34.99555988
MSTRG.36983_jg19632	1119.044131	-4.740447869	0.30599921	-15.49169972	3.95E-54	1.69E-51	2407.366425	2206.689555	2846.023747	130.25151	75.88248848	67.41086943	99.68432209
MSTRG.30203_jg9930	7602.532243	-8.829911854	0.570841405	-15.46823999	5.68E-54	2.40E-51	17095.0847	15970.80337	19996.41033	37.39894843	57.71344194	52.89160524	7.423300581
MSTRG.18376_genb_13637	241652.9157	-7.22235144	0.470166838	-15.36125233	2.98E-53	1.24E-50	362562.1063	789812.9659	524224.7735	5143.000218	5316.049263	2434.050931	2077.463691
MSTRG.18376_genb_19950	241652.9157	-7.22235144	0.470166838	-15.36125233	2.98E-53	1.24E-50	362562.1063	789812.9659	524224.7735	5143.000218	5316.049263	2434.050931	2077.463691
MSTRG.18376_genb_13636	241652.9157	-7.22235144	0.470166838	-15.36125233	2.98E-53	1.24E-50	362562.1063	789812.9659	524224.7735	5143.000218	5316.049263	2434.050931	2077.463691
MSTRG.24787_jg36017	20832.34801	-7.939572479	0.518075815	-15.32511699	5.20E-53	2.13E-50	37314.17959	54955.40266	52769.63252	116.065702	80.15755825	315.2754508	275.722593
MSTRG.36269_jg18945	4526.549081	-4.853148111	0.316877338	-15.31554177	6.02E-53	2.44E-50	11612.41203	9401.635281	9274.538556	367.5413897	319.5614656	486.3953502	223.7594889
MSTRG.35259_jg18033	4283.004826	6.188703394	0.404371122	15.30451376	7.13E-53	2.85E-50	110.3293448	107.7894491	87.04480427	8708.796508	5957.309729	11060.56804	3949.195909
MSTRG.18857_jg23227	1466.871717	10.37303145	0.682387727	15.2010815	3.48E-52	1.37E-49	0	5.239764886	0	2347.106419	2341.669468	3375.728923	2198.357443
MSTRG.15995_jg2173	5910.217252	-8.343938663	0.549430147	-15.18653229	4.34E-52	1.69E-49	14471.03542	15663.90286	11067.49085	47.71589972	11.75644188	76.74468211	32.87461686
MSTRG.17363_jg10716.2	1082.717272	-3.133495745	0.20960876	-14.94925948	1.57E-50	5.96E-48	2238.393555	2363.882501	1977.282466	246.3172121	226.578698	303.8674576	222.6990174
MSTRG.36268_jg18944	9288.183119	-4.564631094	0.309019982	-14.7713137	2.24E-49	8.38E-47	22848.11396	19848.22939	18852.88055	938.8425675	856.0827221	1141.836419	531.2962273
MSTRG.24108_jg35383	1063.125012	-6.809419039	0.461387987	-14.75855295	2.71E-49	1.00E-46	2539.562847	2567.484794	2246.950683	32.24047278	17.10027909	31.11270897	7.423300581
MSTRG.31815_jg28932	990.5678695	5.74651934	0.389563746	14.75116561	3.02E-49	1.10E-46	32.80061603	26.19882443	36.69535866	1955.06227	2001.801421	1970.471568	910.9450284
MSTRG.36421_jg19086	1586.880675	-5.947643493	0.403306129	-14.74721822	3.21E-49	1.15E-46	3536.502783	4178.338227	3158.360986	56.7432321	95.12030246	30.07561867	53.02357558
