ID	DG3
MSTRG.37947	0
MSTRG.37946	640
MSTRG.37945	0
MSTRG.37944	2669
MSTRG.37943	850
MSTRG.37942	0
MSTRG.37941	593
MSTRG.37940	3223
MSTRG.37949	99
MSTRG.37948	17
MSTRG.31479	3707
MSTRG.31478	318
MSTRG.31471	24029
MSTRG.31470	0
MSTRG.31473	680
MSTRG.31472	746
MSTRG.31475	400
MSTRG.31474	10
MSTRG.31477	1201
MSTRG.31476	364
MSTRG.5858	0
MSTRG.17288	0
MSTRG.17289	117
MSTRG.17286	92
MSTRG.17287	0
MSTRG.17284	275
MSTRG.17285	1406
MSTRG.23748	384
MSTRG.17283	172
MSTRG.17280	0
MSTRG.17281	234
MSTRG.21579	484
MSTRG.21578	470
MSTRG.21575	7
MSTRG.21574	573
MSTRG.21577	34
MSTRG.21576	0
MSTRG.21571	0
MSTRG.21570	0
MSTRG.21573	3
MSTRG.21572	2148
MSTRG.14881	0
MSTRG.14880	1657
MSTRG.14883	0
MSTRG.14882	51
MSTRG.14885	1317
MSTRG.14884	1415
MSTRG.14887	121
MSTRG.14886	4
MSTRG.14889	539
MSTRG.14888	17
MSTRG.30708	84
MSTRG.30709	1399
MSTRG.31248	1196
MSTRG.30700	81
MSTRG.30701	107
MSTRG.30702	88
MSTRG.30703	21
MSTRG.30704	1049
MSTRG.30705	2349
MSTRG.30706	25518
MSTRG.30707	1094
MSTRG.29564	3
MSTRG.29565	59
MSTRG.17394	0
MSTRG.28680	0
MSTRG.31589	0
MSTRG.28682	0
MSTRG.28683	17
MSTRG.28684	0
MSTRG.28685	0
MSTRG.28686	5
MSTRG.28687	0
MSTRG.28688	0
MSTRG.28689	0
MSTRG.409	3066
MSTRG.20607	336
MSTRG.16627	96
MSTRG.16626	0
MSTRG.16625	37
MSTRG.16624	382
MSTRG.16623	1145
MSTRG.16622	0
MSTRG.16621	5245
MSTRG.16620	673
MSTRG.16629	656
MSTRG.16628	26
MSTRG.11938	1320
MSTRG.11939	465
MSTRG.11932	22
MSTRG.11933	0
MSTRG.11930	0
MSTRG.11931	0
MSTRG.11936	141
MSTRG.11937	46
MSTRG.11934	0
MSTRG.11935	0
MSTRG.29489	0
MSTRG.22179	0
MSTRG.29485	761
MSTRG.29484	0
MSTRG.29487	580
MSTRG.29486	5
MSTRG.29481	5527
MSTRG.29480	718
MSTRG.29483	39
MSTRG.29482	60
MSTRG.23223	6215
MSTRG.23222	0
MSTRG.23221	3396
MSTRG.23220	50
MSTRG.23227	0
MSTRG.23226	23036
MSTRG.23225	15
MSTRG.23224	1416
MSTRG.23229	203
MSTRG.23228	3812
MSTRG.25683	0
MSTRG.25682	30
MSTRG.25681	0
MSTRG.25680	0
MSTRG.25687	0
MSTRG.25686	13
MSTRG.25685	0
MSTRG.25684	1210
MSTRG.25689	0
MSTRG.25688	0
MSTRG.29157	97
MSTRG.29156	1154
MSTRG.29155	22
MSTRG.29154	2770
MSTRG.29153	5065
MSTRG.29152	5
MSTRG.29151	5097
MSTRG.29150	190
MSTRG.29159	4395
MSTRG.29158	141
MSTRG.35695	4193
MSTRG.35694	79
MSTRG.31365	0
MSTRG.32423	540
MSTRG.32422	15
MSTRG.32728	118
MSTRG.32421	378
MSTRG.32729	986
MSTRG.22798	0
MSTRG.22799	0
MSTRG.32420	22
MSTRG.27033	1626
MSTRG.22790	13779
MSTRG.22791	199
MSTRG.22792	2183
MSTRG.22793	364
MSTRG.22794	6
MSTRG.27030	1982
MSTRG.22796	414
MSTRG.22797	77
MSTRG.26088	297
MSTRG.26089	0
MSTRG.27031	47
MSTRG.32425	681
MSTRG.19168	2228
MSTRG.26080	2173
MSTRG.26081	0
MSTRG.26082	0
MSTRG.26083	109
MSTRG.26084	885
MSTRG.26085	0
MSTRG.26086	0
MSTRG.26087	5061
MSTRG.27034	0
MSTRG.27035	23
MSTRG.31367	0
MSTRG.24792	0
MSTRG.24793	19
MSTRG.24790	2
MSTRG.24791	0
MSTRG.24796	0
MSTRG.24797	0
MSTRG.24794	0
MSTRG.24795	0
MSTRG.24798	183
MSTRG.24799	1149
MSTRG.401	1854
MSTRG.31366	2109
MSTRG.26332	0
MSTRG.26333	0
MSTRG.26330	0
MSTRG.26331	0
MSTRG.26336	0
MSTRG.26337	0
MSTRG.26334	391
MSTRG.26335	5460
MSTRG.26338	0
MSTRG.26339	1484
MSTRG.2150	14
MSTRG.24244	0
MSTRG.24245	13
MSTRG.24246	0
MSTRG.24247	116
MSTRG.24240	0
MSTRG.24241	0
MSTRG.24242	0
MSTRG.24243	5
MSTRG.14412	0
MSTRG.14413	0
MSTRG.14410	20
MSTRG.14411	2
MSTRG.24248	11
MSTRG.24249	0
MSTRG.14414	0
MSTRG.18569	3485
MSTRG.25645	0
MSTRG.29118	85990
MSTRG.31363	1073
MSTRG.9519	472
MSTRG.31362	46
MSTRG.11152	108
MSTRG.29115	26043
MSTRG.25648	0
MSTRG.2940	0
MSTRG.2941	0
MSTRG.10917	1
MSTRG.10916	0
MSTRG.10915	8
MSTRG.10914	1843
MSTRG.10913	486
MSTRG.10912	198
MSTRG.10911	17
MSTRG.10910	721
MSTRG.10919	0
MSTRG.10918	0
MSTRG.2948	3271
MSTRG.2949	93
MSTRG.38483	46
MSTRG.38482	1366
MSTRG.38481	39
MSTRG.38480	2
MSTRG.38487	6409
MSTRG.38486	0
MSTRG.38485	0
MSTRG.38484	1172
MSTRG.38489	0
MSTRG.38488	0
MSTRG.3427	0
MSTRG.12519	883
MSTRG.12518	2696
MSTRG.19769	0
MSTRG.19768	0
MSTRG.12511	268
MSTRG.12510	1220
MSTRG.12513	3141
MSTRG.12512	0
MSTRG.19763	0
MSTRG.19762	0
MSTRG.19761	111
MSTRG.19760	23
MSTRG.33709	0
MSTRG.33708	0
MSTRG.33701	90
MSTRG.33700	0
MSTRG.33703	17712
MSTRG.33702	989
MSTRG.33705	0
MSTRG.33704	0
MSTRG.33707	0
MSTRG.33706	60
MSTRG.2719	717
MSTRG.2718	34
MSTRG.34953	4137
MSTRG.34952	504
MSTRG.34955	5110
MSTRG.34954	0
MSTRG.7949	84
MSTRG.34956	0
MSTRG.2711	5361
MSTRG.2710	6
MSTRG.7945	734
MSTRG.2712	389
MSTRG.2715	481
MSTRG.7942	321
MSTRG.7941	18
MSTRG.7940	183
MSTRG.19189	0
MSTRG.19188	169
MSTRG.19183	398
MSTRG.19182	841
MSTRG.19181	1630
MSTRG.19180	215
MSTRG.19187	242
MSTRG.19186	4912
MSTRG.19185	0
MSTRG.19184	0
MSTRG.32078	0
MSTRG.32079	491
MSTRG.32070	8
MSTRG.32071	0
MSTRG.32072	0
MSTRG.32073	0
MSTRG.32074	147
MSTRG.32075	159
MSTRG.32076	168
MSTRG.32077	0
MSTRG.9899	0
MSTRG.9898	0
MSTRG.9897	21
MSTRG.9896	753
MSTRG.9895	207
MSTRG.9894	0
MSTRG.9893	311
MSTRG.9892	16100
MSTRG.9891	0
MSTRG.9890	490
MSTRG.20028	936
MSTRG.20029	13
MSTRG.20024	112
MSTRG.20025	1265
MSTRG.20026	1632
MSTRG.20027	0
MSTRG.20020	70
MSTRG.20021	1606
MSTRG.20022	13626
MSTRG.20023	453
MSTRG.631	3745
MSTRG.630	6899
MSTRG.633	4838
MSTRG.632	2765
MSTRG.635	0
MSTRG.634	101
MSTRG.637	8579
MSTRG.636	680
MSTRG.639	114
MSTRG.638	730
MSTRG.8416	38
MSTRG.8417	14
MSTRG.8410	3910
MSTRG.8411	68
MSTRG.8412	0
MSTRG.8413	1223
MSTRG.4713	0
MSTRG.4712	4430
MSTRG.4711	0
MSTRG.4710	2755
MSTRG.4717	136
MSTRG.4716	12
MSTRG.4715	2568
MSTRG.4714	571
MSTRG.4719	99
MSTRG.4718	0
MSTRG.20796	4728
MSTRG.20797	113
MSTRG.20794	766
MSTRG.20795	112
MSTRG.20792	108
MSTRG.20793	447
MSTRG.20790	2
MSTRG.20791	0
MSTRG.31677	150
MSTRG.31676	8
MSTRG.31675	0
MSTRG.31674	0
MSTRG.31673	0
MSTRG.31672	0
MSTRG.31671	0
MSTRG.20799	19
MSTRG.987	46
MSTRG.986	1
MSTRG.985	0
MSTRG.984	1
MSTRG.983	0
MSTRG.982	0
MSTRG.35709	0
MSTRG.980	35
MSTRG.35707	359
MSTRG.35706	1677
MSTRG.35705	0
MSTRG.35704	8
MSTRG.35703	84
MSTRG.35702	3350
MSTRG.989	2408
MSTRG.988	3367
MSTRG.21773	0
MSTRG.21772	73
MSTRG.21771	0
MSTRG.21770	4565
MSTRG.5394	0
MSTRG.5395	0
MSTRG.21775	0
MSTRG.21774	72
MSTRG.5398	6072
MSTRG.5399	90
MSTRG.21779	36
MSTRG.21778	1235
MSTRG.24421	19
MSTRG.19764	0
MSTRG.24422	332
MSTRG.37631	0
MSTRG.37630	21
MSTRG.37633	0
MSTRG.37632	298
MSTRG.37635	0
MSTRG.37634	0
MSTRG.37637	13
MSTRG.37636	236
MSTRG.37639	1989
MSTRG.37638	376
MSTRG.36940	2094
MSTRG.36941	0
MSTRG.36942	0
MSTRG.36943	3
MSTRG.5978	2
MSTRG.5979	80
MSTRG.36946	826
MSTRG.36947	750
MSTRG.36948	7
MSTRG.36949	0
MSTRG.5976	168
MSTRG.5977	13
MSTRG.5970	0
MSTRG.5971	0
MSTRG.5972	0
MSTRG.5973	5972
MSTRG.28446	0
MSTRG.28447	9
MSTRG.28444	0
MSTRG.28445	1058
MSTRG.28442	0
MSTRG.28443	121
MSTRG.28440	0
MSTRG.28441	1301
MSTRG.28448	2363
MSTRG.28449	3
MSTRG.38814	0
MSTRG.38815	0
MSTRG.38816	0
MSTRG.38817	0
MSTRG.38810	3573
MSTRG.38811	0
MSTRG.38812	0
MSTRG.38813	71
MSTRG.38818	0
MSTRG.38819	244
MSTRG.36178	0
MSTRG.37099	2149
MSTRG.37098	54
MSTRG.37095	0
MSTRG.37094	0
MSTRG.37097	434
MSTRG.37096	0
MSTRG.37091	2516
MSTRG.33062	412
MSTRG.37093	0
MSTRG.37092	105
MSTRG.26818	1174
MSTRG.24506	493
MSTRG.33068	0
MSTRG.26812	51
MSTRG.8120	1292
MSTRG.8121	55
MSTRG.8122	550
MSTRG.29315	13253
MSTRG.29314	25
MSTRG.29317	2173
MSTRG.29316	364
MSTRG.7532	27
MSTRG.7533	690
MSTRG.7530	0
MSTRG.7531	13136
MSTRG.8124	593
MSTRG.29319	0
MSTRG.29318	482
MSTRG.7538	20635
MSTRG.7539	0
MSTRG.22898	3
MSTRG.32919	4
MSTRG.32918	733
MSTRG.8126	1563
MSTRG.32913	3458
MSTRG.32912	3
MSTRG.32911	0
MSTRG.32910	348
MSTRG.32917	66
MSTRG.32916	376
MSTRG.32915	61
MSTRG.32914	11
MSTRG.24903	6
MSTRG.24902	1
MSTRG.24901	0
MSTRG.24900	0
MSTRG.24906	58
MSTRG.18522	0
MSTRG.24302	3360
MSTRG.18523	194
MSTRG.18520	316
MSTRG.6593	9
MSTRG.18521	0
MSTRG.6592	5
MSTRG.18526	327
MSTRG.38728	980
MSTRG.18527	0
MSTRG.38729	386
MSTRG.18524	205
MSTRG.34256	457
MSTRG.12419	0
MSTRG.6596	336
MSTRG.24008	0
MSTRG.24009	0
MSTRG.6595	253
MSTRG.24002	142
MSTRG.24003	1817
MSTRG.24000	431
MSTRG.28777	3
MSTRG.24006	4
MSTRG.24007	0
MSTRG.24004	111
MSTRG.24005	3512
MSTRG.38722	1540
MSTRG.22893	828
MSTRG.1908	149
MSTRG.34258	57
MSTRG.13995	7
MSTRG.34259	944
MSTRG.22892	1
MSTRG.1400	117
MSTRG.1401	0
MSTRG.30288	0
MSTRG.1408	0
MSTRG.1409	1007
MSTRG.22992	385
MSTRG.23850	0
MSTRG.23851	12
MSTRG.23852	41
MSTRG.23853	433
MSTRG.23854	0
MSTRG.23855	0
MSTRG.23856	0
MSTRG.23857	0
MSTRG.23858	47
MSTRG.23859	0
MSTRG.8232	1564
MSTRG.21980	630
MSTRG.21981	64
MSTRG.21982	16
MSTRG.21983	96
MSTRG.21984	106
MSTRG.21985	0
MSTRG.21986	105
MSTRG.21987	3700
MSTRG.21988	180
MSTRG.21989	0
MSTRG.30116	3349
MSTRG.1963	56
MSTRG.13918	24834
MSTRG.13919	0
MSTRG.13916	0
MSTRG.13917	524
MSTRG.13914	295
MSTRG.13915	0
MSTRG.13912	33
MSTRG.13913	1365
MSTRG.13910	843
MSTRG.13911	446
MSTRG.26512	919
MSTRG.26513	28
MSTRG.26510	86
MSTRG.26511	28554
MSTRG.26516	1144
MSTRG.26517	113
MSTRG.26514	192
MSTRG.26515	809
MSTRG.26518	496
MSTRG.26519	104
MSTRG.12061	1137
MSTRG.12060	169
MSTRG.12063	1206
MSTRG.12062	144
MSTRG.12065	0
MSTRG.12064	285
MSTRG.12067	0
MSTRG.12066	0
MSTRG.12069	876
MSTRG.12068	0
MSTRG.17747	1864
MSTRG.17746	1108
MSTRG.17745	0
MSTRG.17744	0
MSTRG.17743	15827
MSTRG.17742	24
MSTRG.17741	2
MSTRG.17740	5
MSTRG.17749	1738
MSTRG.17748	1836
MSTRG.24859	159
MSTRG.24858	0
MSTRG.3022	14407
MSTRG.3023	30230
MSTRG.3024	103
MSTRG.3025	8
MSTRG.3026	0
MSTRG.3027	0
MSTRG.3028	11902
MSTRG.3029	13268
MSTRG.24853	0
MSTRG.24852	0
MSTRG.16296	1073
MSTRG.24854	0
MSTRG.24857	41
MSTRG.24856	629
MSTRG.28169	0
MSTRG.28168	0
MSTRG.28165	3697
MSTRG.28164	186
MSTRG.28167	8
MSTRG.28166	392
MSTRG.28161	0
MSTRG.28160	20
MSTRG.28163	61
MSTRG.28162	76
MSTRG.30159	0
MSTRG.6903	0
MSTRG.32800	0
MSTRG.11749	6
MSTRG.9706	409
