ID	HG1
MSTRG.29837	0
MSTRG.29830	218
MSTRG.29831	1827
MSTRG.29832	69
MSTRG.29833	11
MSTRG.29838	182
MSTRG.29839	132
MSTRG.8928	98
MSTRG.8929	65
MSTRG.8920	0
MSTRG.8921	273
MSTRG.8922	0
MSTRG.8923	0
MSTRG.8924	0
MSTRG.8925	0
MSTRG.8926	12
MSTRG.8927	23
MSTRG.29568	703
MSTRG.18697	0
MSTRG.29569	0
MSTRG.20228	3
MSTRG.20229	0
MSTRG.20226	696
MSTRG.12416	1628
MSTRG.20224	0
MSTRG.20225	151
MSTRG.20222	0
MSTRG.20223	81
MSTRG.20220	868
MSTRG.20221	284
MSTRG.439	30
MSTRG.438	0
MSTRG.437	0
MSTRG.436	380
MSTRG.435	10
MSTRG.434	11297
MSTRG.433	2575
MSTRG.432	0
MSTRG.431	35
MSTRG.430	2988
MSTRG.30994	326
MSTRG.37947	0
MSTRG.37946	95
MSTRG.37945	0
MSTRG.37944	489
MSTRG.37943	194
MSTRG.37942	0
MSTRG.37941	177
MSTRG.37940	764
MSTRG.37949	35
MSTRG.37948	0
MSTRG.31479	163
MSTRG.31478	129
MSTRG.31471	43981
MSTRG.31470	0
MSTRG.31473	135
MSTRG.31472	602
MSTRG.31475	405
MSTRG.31474	0
MSTRG.31477	747
MSTRG.31476	112
MSTRG.5858	0
MSTRG.17288	0
MSTRG.17289	0
MSTRG.17286	0
MSTRG.17287	0
MSTRG.17284	181
MSTRG.17285	1047
MSTRG.23748	340
MSTRG.17283	73
MSTRG.17280	0
MSTRG.17281	199
MSTRG.21579	362
MSTRG.21578	59
MSTRG.21575	0
MSTRG.21574	381
MSTRG.21577	159
MSTRG.21576	0
MSTRG.21571	0
MSTRG.21570	0
MSTRG.21573	6
MSTRG.21572	988
MSTRG.14881	0
MSTRG.14880	4092
MSTRG.14883	0
MSTRG.14882	45
MSTRG.14885	162
MSTRG.14884	271
MSTRG.14887	0
MSTRG.14886	0
MSTRG.14889	108
MSTRG.14888	0
MSTRG.30708	39
MSTRG.30709	3031
MSTRG.31248	332
MSTRG.30700	0
MSTRG.30701	37
MSTRG.30702	9
MSTRG.30703	0
MSTRG.30704	969
MSTRG.30705	367
MSTRG.30706	36648
MSTRG.30707	289
MSTRG.29564	4
MSTRG.29565	24
MSTRG.17394	0
MSTRG.28680	0
MSTRG.31589	0
MSTRG.28682	0
MSTRG.28683	9
MSTRG.28684	0
MSTRG.28685	0
MSTRG.28686	0
MSTRG.28687	0
MSTRG.28688	0
MSTRG.28689	0
MSTRG.409	1843
MSTRG.20607	158
MSTRG.16627	0
MSTRG.16626	0
MSTRG.16625	9
MSTRG.16624	157
MSTRG.16623	519
MSTRG.16622	0
MSTRG.16621	2046
MSTRG.16620	1419
MSTRG.16629	289
MSTRG.16628	0
MSTRG.11938	89
MSTRG.11939	384
MSTRG.11932	0
MSTRG.11933	0
MSTRG.11930	0
MSTRG.11931	0
MSTRG.11936	457
MSTRG.11937	9
MSTRG.11934	0
MSTRG.11935	0
MSTRG.29489	0
MSTRG.22179	0
MSTRG.29485	97
MSTRG.29484	0
MSTRG.29487	344
MSTRG.29486	9
MSTRG.29481	8204
MSTRG.29480	61
MSTRG.29483	0
MSTRG.29482	6
MSTRG.23223	2493
MSTRG.23222	0
MSTRG.23221	3384
MSTRG.23220	70
MSTRG.23227	0
MSTRG.23226	14257
MSTRG.23225	18
MSTRG.23224	819
MSTRG.23229	53
MSTRG.23228	2134
MSTRG.25683	0
MSTRG.25682	39
MSTRG.25681	0
MSTRG.25680	0
MSTRG.25687	0
MSTRG.25686	42
MSTRG.25685	0
MSTRG.25684	267
MSTRG.25689	0
MSTRG.25688	0
MSTRG.29157	0
MSTRG.29156	121
MSTRG.29155	34
MSTRG.29154	405
MSTRG.29153	2256
MSTRG.29152	7
MSTRG.29151	744
MSTRG.29150	0
MSTRG.29159	317
MSTRG.29158	442
MSTRG.35695	542
MSTRG.35694	9
MSTRG.31365	0
MSTRG.32423	133
MSTRG.32422	22
MSTRG.32728	81
MSTRG.32421	233
MSTRG.32729	127
MSTRG.22798	0
MSTRG.22799	0
MSTRG.32420	13
MSTRG.27033	1998
MSTRG.22790	2639
MSTRG.22791	59
MSTRG.22792	652
MSTRG.22793	0
MSTRG.22794	0
MSTRG.27030	1035
MSTRG.22796	360
MSTRG.22797	43
MSTRG.26088	138
MSTRG.26089	0
MSTRG.27031	30
MSTRG.32425	10168
MSTRG.19168	103
MSTRG.26080	2124
MSTRG.26081	0
MSTRG.26082	0
MSTRG.26083	36
MSTRG.26084	101
MSTRG.26085	0
MSTRG.26086	0
MSTRG.26087	1258
MSTRG.27034	0
MSTRG.27035	0
MSTRG.31367	0
MSTRG.24792	0
MSTRG.24793	0
MSTRG.24790	0
MSTRG.24791	0
MSTRG.24796	0
MSTRG.24797	0
MSTRG.24794	0
MSTRG.24795	0
MSTRG.24798	7
MSTRG.24799	265
MSTRG.401	231
MSTRG.31366	1080
MSTRG.26332	0
MSTRG.26333	0
MSTRG.26330	0
MSTRG.26331	0
MSTRG.26336	0
MSTRG.26337	0
MSTRG.26334	277
MSTRG.26335	3970
MSTRG.26338	0
MSTRG.26339	1419
MSTRG.2150	0
MSTRG.24244	0
MSTRG.24245	0
MSTRG.24246	0
MSTRG.24247	57
MSTRG.24240	0
MSTRG.24241	0
MSTRG.24242	0
MSTRG.24243	0
MSTRG.14412	0
MSTRG.14413	0
MSTRG.14410	14
MSTRG.14411	10
MSTRG.24248	0
MSTRG.24249	0
MSTRG.14414	5
MSTRG.18569	3143
MSTRG.25645	0
MSTRG.29118	91117
MSTRG.31363	1155
MSTRG.9519	226
MSTRG.31362	0
MSTRG.11152	100
MSTRG.29115	50535
MSTRG.25648	0
MSTRG.2940	0
MSTRG.2941	0
MSTRG.10917	0
MSTRG.10916	0
MSTRG.10915	41
MSTRG.10914	537
MSTRG.10913	109
MSTRG.10912	73
MSTRG.10911	0
MSTRG.10910	107
MSTRG.10919	0
MSTRG.10918	0
MSTRG.2948	8305
MSTRG.2949	146
MSTRG.38483	14
MSTRG.38482	204
MSTRG.38481	0
MSTRG.38480	0
MSTRG.38487	1778
MSTRG.38486	0
MSTRG.38485	6
MSTRG.38484	248
MSTRG.38489	0
MSTRG.38488	0
MSTRG.3427	0
MSTRG.12519	155
MSTRG.12518	540
MSTRG.19769	0
MSTRG.19768	0
MSTRG.12511	203
MSTRG.12510	305
MSTRG.12513	935
MSTRG.12512	0
MSTRG.19763	0
MSTRG.19762	0
MSTRG.19761	105
MSTRG.19760	53
MSTRG.33709	17
MSTRG.33708	1
MSTRG.33701	53
MSTRG.33700	0
MSTRG.33703	3320
MSTRG.33702	174
MSTRG.33705	0
MSTRG.33704	0
MSTRG.33707	0
MSTRG.33706	23
MSTRG.2719	78
MSTRG.2718	21
MSTRG.34953	1468
MSTRG.34952	167
MSTRG.34955	3229
MSTRG.34954	0
MSTRG.7949	27
MSTRG.34956	0
MSTRG.2711	595
MSTRG.2710	0
MSTRG.7945	284
MSTRG.2712	134
MSTRG.2715	393
MSTRG.7942	187
MSTRG.7941	0
MSTRG.7940	0
MSTRG.19189	0
MSTRG.19188	24
MSTRG.19183	54
MSTRG.19182	374
MSTRG.19181	1942
MSTRG.19180	64
MSTRG.19187	73
MSTRG.19186	808
MSTRG.19185	0
MSTRG.19184	0
MSTRG.32078	0
MSTRG.32079	502
MSTRG.32070	0
MSTRG.32071	0
MSTRG.32072	0
MSTRG.32073	0
MSTRG.32074	21
MSTRG.32075	204
MSTRG.32076	95
MSTRG.32077	0
MSTRG.9899	0
MSTRG.9898	0
MSTRG.9897	19
MSTRG.9896	39
MSTRG.9895	58
MSTRG.9894	0
MSTRG.9893	311
