ID	S4
MSTRG.6439	1596
MSTRG.7016	7166
MSTRG.22069	2
MSTRG.56	79
MSTRG.57	648
MSTRG.54	1279
MSTRG.55	340
MSTRG.52	8
MSTRG.53	3
MSTRG.50	91
MSTRG.51	0
MSTRG.58	24
MSTRG.59	0
MSTRG.28681	0
MSTRG.28873	1
MSTRG.28872	0
MSTRG.28871	5
MSTRG.28870	8
MSTRG.6298	984
MSTRG.6299	7920
MSTRG.28875	8
MSTRG.30365	36
MSTRG.6294	2094
MSTRG.6295	15634
MSTRG.6296	86
MSTRG.6297	1098
MSTRG.6290	10
MSTRG.6291	0
MSTRG.6292	633
MSTRG.6293	60
MSTRG.37110	758
MSTRG.37111	0
MSTRG.37112	1157
MSTRG.37113	484
MSTRG.37114	4659
MSTRG.37115	12
MSTRG.37116	41
MSTRG.37117	526
MSTRG.37118	16
MSTRG.37119	83
MSTRG.7741	1394
MSTRG.7740	36
MSTRG.7743	66
MSTRG.7742	56
MSTRG.7745	48
MSTRG.7744	922
MSTRG.7747	10
MSTRG.7746	774
MSTRG.7749	8880
MSTRG.7748	0
MSTRG.30939	0
MSTRG.33373	160
MSTRG.22063	155
MSTRG.30933	10
MSTRG.37243	0
MSTRG.30932	0
MSTRG.26889	0
MSTRG.24993	8
MSTRG.18694	0
MSTRG.29834	7536
MSTRG.29835	668
MSTRG.29836	102
MSTRG.29837	42
MSTRG.29830	660
MSTRG.29831	8557
MSTRG.29832	95
MSTRG.29833	23
MSTRG.29838	429
MSTRG.29839	0
MSTRG.8928	827
MSTRG.8929	641
MSTRG.8920	0
MSTRG.8921	366
MSTRG.8922	110
MSTRG.8923	4
MSTRG.8924	0
MSTRG.8925	0
MSTRG.8926	3
MSTRG.8927	18
MSTRG.29568	466
MSTRG.18697	0
MSTRG.29569	0
MSTRG.20228	0
MSTRG.20229	0
MSTRG.20226	368
MSTRG.12416	831
MSTRG.20224	0
MSTRG.20225	593
MSTRG.20222	0
MSTRG.20223	832
MSTRG.20220	976
MSTRG.20221	244
MSTRG.439	0
MSTRG.438	18
MSTRG.437	7
MSTRG.436	494
MSTRG.435	40
MSTRG.434	2816
MSTRG.433	2107
MSTRG.432	0
MSTRG.431	40
MSTRG.430	1201
MSTRG.30994	851
MSTRG.37947	102
MSTRG.37946	896
MSTRG.37945	21
MSTRG.37944	2439
MSTRG.37943	808
MSTRG.37942	4
MSTRG.37941	678
MSTRG.37940	7068
MSTRG.37949	123
MSTRG.37948	16
MSTRG.31479	4309
MSTRG.31478	266
MSTRG.31471	15816
MSTRG.31470	0
MSTRG.31473	638
MSTRG.31472	211
MSTRG.31475	837
MSTRG.31474	14
MSTRG.31477	1242
MSTRG.31476	296
MSTRG.5858	13
MSTRG.17288	8
MSTRG.17289	900
MSTRG.17286	423
MSTRG.17287	19
MSTRG.17284	259
MSTRG.17285	1473
MSTRG.23748	2038
MSTRG.17283	133
MSTRG.17280	15
MSTRG.17281	617
MSTRG.21579	705
MSTRG.21578	975
MSTRG.21575	20
MSTRG.21574	425
MSTRG.21577	0
MSTRG.21576	0
MSTRG.21571	39
MSTRG.21570	0
MSTRG.21573	51
MSTRG.21572	2306
MSTRG.14881	0
MSTRG.14880	3126
MSTRG.14883	11
MSTRG.14882	86
MSTRG.14885	843
MSTRG.14884	1595
MSTRG.14887	687
MSTRG.14886	17
MSTRG.14889	895
MSTRG.14888	8
MSTRG.30708	16
MSTRG.30709	1614
MSTRG.31248	1108
MSTRG.30700	86
MSTRG.30701	174
MSTRG.30702	142
MSTRG.30703	43
MSTRG.30704	419
MSTRG.30705	1482
MSTRG.30706	8447
MSTRG.30707	378
MSTRG.29564	0
MSTRG.29565	29
MSTRG.17394	0
MSTRG.28680	0
MSTRG.31589	961
MSTRG.28682	0
MSTRG.28683	41
MSTRG.28684	0
MSTRG.28685	0
MSTRG.28686	0
MSTRG.28687	0
MSTRG.28688	0
MSTRG.28689	15
MSTRG.409	1807
MSTRG.20607	462
MSTRG.16627	28
MSTRG.16626	0
MSTRG.16625	21
MSTRG.16624	299
MSTRG.16623	591
MSTRG.16622	0
MSTRG.16621	1872
MSTRG.16620	558
MSTRG.16629	506
MSTRG.16628	21
MSTRG.11938	1493
MSTRG.11939	243
MSTRG.11932	10
MSTRG.11933	0
MSTRG.11930	0
MSTRG.11931	0
MSTRG.11936	2352
MSTRG.11937	82
MSTRG.11934	39
MSTRG.11935	146
MSTRG.29489	0
MSTRG.22179	0
MSTRG.29485	11937
MSTRG.29484	0
MSTRG.29487	763
MSTRG.29486	97
MSTRG.29481	2518
MSTRG.29480	788
MSTRG.29483	698
MSTRG.29482	1154
MSTRG.23223	2761
MSTRG.23222	0
MSTRG.23221	2895
MSTRG.23220	5
MSTRG.23227	0
MSTRG.23226	6002
MSTRG.23225	707
MSTRG.23224	543
MSTRG.23229	73
MSTRG.23228	2665
MSTRG.25683	0
MSTRG.25682	12
MSTRG.25681	0
MSTRG.25680	0
MSTRG.25687	4
MSTRG.25686	0
MSTRG.25685	0
MSTRG.25684	1118
MSTRG.25689	0
MSTRG.25688	0
MSTRG.29157	186
MSTRG.29156	1899
MSTRG.29155	46
MSTRG.29154	524
MSTRG.29153	2526
MSTRG.29152	23
MSTRG.29151	138
MSTRG.29150	133
MSTRG.29159	2235
MSTRG.29158	197
MSTRG.35695	1958
MSTRG.35694	223
MSTRG.31365	411
MSTRG.32423	902
MSTRG.32422	23
MSTRG.32728	217
MSTRG.32421	1291
MSTRG.32729	52
MSTRG.22798	0
MSTRG.22799	0
MSTRG.32420	71
MSTRG.27033	5295
MSTRG.22790	6372
MSTRG.22791	162
MSTRG.22792	2220
MSTRG.22793	513
MSTRG.22794	0
MSTRG.27030	253
MSTRG.22796	610
MSTRG.22797	78
MSTRG.26088	208
MSTRG.26089	0
MSTRG.27031	42
MSTRG.32425	18
MSTRG.19168	1879
MSTRG.26080	1241
MSTRG.26081	0
MSTRG.26082	0
MSTRG.26083	166
MSTRG.26084	1639
MSTRG.26085	51
MSTRG.26086	129
MSTRG.26087	3104
MSTRG.27034	0
MSTRG.27035	244
MSTRG.31367	0
MSTRG.24792	0
MSTRG.24793	12
MSTRG.24790	4
MSTRG.24791	0
MSTRG.24796	4
MSTRG.24797	1
MSTRG.24794	0
MSTRG.24795	0
MSTRG.24798	11
MSTRG.24799	84
MSTRG.401	1374
MSTRG.31366	968
MSTRG.26332	0
MSTRG.26333	9
MSTRG.26330	0
MSTRG.26331	0
MSTRG.26336	8
MSTRG.26337	0
MSTRG.26334	329
MSTRG.26335	3538
MSTRG.26338	0
MSTRG.26339	843
MSTRG.2150	38
MSTRG.24244	0
MSTRG.24245	2
MSTRG.24246	0
MSTRG.24247	291
MSTRG.24240	0
MSTRG.24241	0
MSTRG.24242	0
MSTRG.24243	0
MSTRG.14412	27
MSTRG.14413	0
MSTRG.14410	0
MSTRG.14411	0
MSTRG.24248	0
MSTRG.24249	2
MSTRG.14414	5
MSTRG.18569	2631
MSTRG.25645	0
MSTRG.29118	3338
MSTRG.31363	502
MSTRG.9519	224
MSTRG.31362	84
MSTRG.11152	344
MSTRG.29115	10328
MSTRG.25648	1089
MSTRG.2940	0
MSTRG.2941	0
MSTRG.10917	0
MSTRG.10916	0
MSTRG.10915	6
MSTRG.10914	1179
MSTRG.10913	289
MSTRG.10912	37
MSTRG.10911	0
MSTRG.10910	33
MSTRG.10919	0
MSTRG.10918	0
MSTRG.2948	1847
MSTRG.2949	30
MSTRG.38483	47
MSTRG.38482	1560
MSTRG.38481	95
MSTRG.38480	4
MSTRG.38487	3168
MSTRG.38486	2302
MSTRG.38485	5
MSTRG.38484	760
MSTRG.38489	367
MSTRG.38488	10683
MSTRG.3427	0
MSTRG.12519	483
MSTRG.12518	2100
MSTRG.19769	0
MSTRG.19768	0
MSTRG.12511	190
MSTRG.12510	440
MSTRG.12513	2689
MSTRG.12512	0
MSTRG.19763	68
MSTRG.19762	196
MSTRG.19761	712
MSTRG.19760	293
MSTRG.33709	14
MSTRG.33708	4
MSTRG.33701	13
MSTRG.33700	0
MSTRG.33703	11994
MSTRG.33702	464
MSTRG.33705	0
MSTRG.33704	0
MSTRG.33707	35
MSTRG.33706	17
MSTRG.2719	1709
MSTRG.2718	17
MSTRG.34953	2007
MSTRG.34952	231
MSTRG.34955	918
MSTRG.34954	0
MSTRG.7949	94
MSTRG.34956	0
MSTRG.2711	2415
MSTRG.2710	0
MSTRG.7945	698
MSTRG.2712	279
MSTRG.2715	104
MSTRG.7942	346
MSTRG.7941	8
MSTRG.7940	30
MSTRG.19189	0
MSTRG.19188	381
MSTRG.19183	661
MSTRG.19182	472
MSTRG.19181	2826
MSTRG.19180	317
MSTRG.19187	99
MSTRG.19186	2071
MSTRG.19185	0
MSTRG.19184	0
MSTRG.32078	0
MSTRG.32079	16
MSTRG.32070	80
MSTRG.32071	0
MSTRG.32072	0
MSTRG.32073	0
MSTRG.32074	596
MSTRG.32075	331
MSTRG.32076	631
MSTRG.32077	124
MSTRG.9899	1
MSTRG.9898	7
MSTRG.9897	53
MSTRG.9896	19
MSTRG.9895	0
MSTRG.9894	0
MSTRG.9893	0
MSTRG.9892	8605
MSTRG.9891	1
MSTRG.9890	627
MSTRG.20028	419
MSTRG.20029	39
MSTRG.20024	139
MSTRG.20025	1973
MSTRG.20026	487
MSTRG.20027	0
MSTRG.20020	144
MSTRG.20021	703
MSTRG.20022	4040
MSTRG.20023	128
MSTRG.631	2441
MSTRG.630	10002
MSTRG.633	3006
MSTRG.632	1071
MSTRG.635	15
MSTRG.634	112
MSTRG.637	1967
MSTRG.636	594
MSTRG.639	338
MSTRG.638	1985
MSTRG.8416	63
MSTRG.8417	195
MSTRG.8410	2848
MSTRG.8411	82
MSTRG.8412	2
MSTRG.8413	1057
MSTRG.4713	0
MSTRG.4712	1555
MSTRG.4711	0
MSTRG.4710	97
MSTRG.4717	528
MSTRG.4716	37
MSTRG.4715	1680
MSTRG.4714	509
MSTRG.4719	70
MSTRG.4718	11
MSTRG.20796	109
MSTRG.20797	0
MSTRG.20794	267
MSTRG.20795	52
MSTRG.20792	53
MSTRG.20793	135
MSTRG.20790	0
MSTRG.20791	14
MSTRG.31677	156
MSTRG.31676	26
MSTRG.31675	0
MSTRG.31674	0
MSTRG.31673	2
MSTRG.31672	0
MSTRG.31671	0
MSTRG.20799	2300
MSTRG.987	1
MSTRG.986	2
MSTRG.985	0
MSTRG.984	2
MSTRG.983	0
MSTRG.982	1
MSTRG.35709	0
MSTRG.980	22
MSTRG.35707	41
MSTRG.35706	1133
MSTRG.35705	50
MSTRG.35704	46
MSTRG.35703	423
MSTRG.35702	871
MSTRG.989	2149
MSTRG.988	104
MSTRG.21773	40
MSTRG.21772	1732
MSTRG.21771	765
MSTRG.21770	3907
MSTRG.5394	4
MSTRG.5395	0
MSTRG.21775	2
MSTRG.21774	53
MSTRG.5398	3686
MSTRG.5399	416
MSTRG.21779	46
MSTRG.21778	1009
MSTRG.24421	0
MSTRG.19764	27
MSTRG.24422	38
