Gene stable ID	STRING ID
AT4G32660	
AT4G32660	
AT4G32660	3702.AT4G32660.1
AT4G32660	
AT1G75580	3702.AT1G75580.1
AT5G23090	3702.AT5G23090.2
AT5G23090	3702.AT5G23090.2
AT5G23090	
AT5G23090	
AT5G23090	3702.AT5G23090.2
AT5G45920	
AT5G45920	3702.AT5G45920.1
AT5G45920	3702.AT5G45920.1
AT5G45920	
AT3G52760	3702.AT3G52760.1
AT5G52750	3702.AT5G52750.1
AT5G52750	
AT5G18830	
AT5G18830	3702.AT5G18830.3
AT5G18830	
AT3G27460	
AT3G27460	
AT3G27460	
AT3G27460	
AT3G27460	3702.AT3G27460.1
AT2G38910	3702.AT2G38910.1
AT3G62780	
AT3G28210	3702.AT3G28210.1
AT3G28210	3702.AT3G28210.1
AT3G47675	3702.AT3G47675.1
AT2G44360	3702.AT2G44360.1
AT5G50720	3702.AT5G50720.1
AT2G36060	
AT2G36060	3702.AT2G36060.2
AT2G36060	
AT1G26400	3702.AT1G26400.1
AT4G19470	
AT4G04360	3702.AT4G04360.1
AT3G25060	3702.AT3G25060.1
AT2G07684	
AT1G72980	3702.AT1G72980.1
AT5G51840	3702.AT5G51840.1
AT4G17490	3702.AT4G17490.1
AT1G59970	3702.AT1G59970.1
AT2G32950	3702.AT2G32950.1
AT2G32950	
AT3G26240	
AT3G04860	
AT1G11520	3702.AT1G11520.1
AT2G24420	3702.AT2G24420.1
AT2G24420	3702.AT2G24420.1
AT1G30640	3702.AT1G30640.1
AT1G30640	
AT1G30640	3702.AT1G30640.1
AT2G40950	3702.AT2G40950.1
AT5G21930	3702.AT5G21930.2
AT5G21930	
AT5G21930	
AT5G21930	3702.AT5G21930.2
AT1G26440	3702.AT1G26440.2
AT1G26440	3702.AT1G26440.2
AT1G26440	
AT1G26440	
AT1G26440	
AT1G26440	
AT1G26440	
AT1G26440	
AT1G51320	
AT5G24240	3702.AT5G24240.1
AT5G24240	3702.AT5G24240.1
AT1G22070	3702.AT1G22070.1
AT4G25310	
AT4G25310	3702.AT4G25310.1
AT1G26700	3702.AT1G26700.1
AT1G26700	3702.AT1G26700.1
AT3G55990	3702.AT3G55990.1
AT3G43940	3702.AT3G43940.1
AT5G27607	
AT2G40750	3702.AT2G40750.1
AT3G09920	3702.AT3G09920.3
AT3G09920	3702.AT3G09920.3
AT3G09920	3702.AT3G09920.3
AT3G09920	3702.AT3G09920.3
AT3G54900	3702.AT3G54900.1
AT3G16500	
AT3G16500	3702.AT3G16500.1
AT5G25480	3702.AT5G25480.1
AT3G12910	3702.AT3G12910.1
AT2G05100	3702.AT2G05100.1
AT2G05100	
AT3G18510	
AT1G73603	3702.AT1G73603.1
AT4G08876	3702.AT4G08876.1
AT1G55650	3702.AT1G55650.1
AT5G65130	3702.AT5G65130.1
AT5G65130	
AT3G25730	3702.AT3G25730.1
AT1G78180	3702.AT1G78180.1
AT2G28960	3702.AT2G28960.1
AT2G28960	
AT3G48680	3702.AT3G48680.1
AT2G04842	3702.AT2G04842.1
AT2G04842	3702.AT2G04842.1
AT3G63360	3702.AT3G63360.1
AT1G55928	3702.AT1G55928.1
AT3G18010	3702.AT3G18010.1
AT4G18550	
AT4G18550	
AT4G18550	3702.AT4G18550.1
AT4G12000	
AT4G12000	
AT4G12000	
AT1G29880	3702.AT1G29880.1
AT3G01250	3702.AT3G01250.1
AT5G27280	3702.AT5G27280.1
AT1G53645	3702.AT1G53645.1
AT3G46070	3702.AT3G46070.1
AT3G19120	3702.AT3G19120.1
AT5G37180	
AT5G37180	
AT5G37180	
AT3G21305	
AT4G37760	3702.AT4G37760.1
AT3G01840	3702.AT3G01840.1
AT2G20690	3702.AT2G20690.1
AT4G02510	3702.AT4G02510.1
AT4G02510	3702.AT4G02510.1
AT4G02510	3702.AT4G02510.1
AT4G02510	3702.AT4G02510.1
AT5G10110	3702.AT5G10110.1
AT2G45580	3702.AT2G45580.1
AT2G45580	
AT2G45580	
AT2G31360	3702.AT2G31360.1
AT2G31360	3702.AT2G31360.1
AT3G14290	3702.AT3G14290.1
AT3G23090	3702.AT3G23090.2
AT3G23090	
AT3G23090	
AT3G23090	
AT3G23090	
AT3G08690	3702.AT3G08690.2
AT3G08690	3702.AT3G08690.2
AT2G01830	
AT2G01830	
AT2G01830	
AT2G01830	3702.AT2G01830.2
AT2G01830	
AT2G01830	
AT3G48540	3702.AT3G48540.1
AT4G34750	3702.AT4G34750.1
AT4G34750	3702.AT4G34750.1
AT1G06240	
AT5G05050	
AT1G72330	
AT1G72330	
AT1G72330	3702.AT1G72330.3
AT3G48343	
AT3G54300	3702.AT3G54300.1
AT3G54300	3702.AT3G54300.1
AT3G54300	3702.AT3G54300.1
AT5G42470	3702.AT5G42470.1
AT5G51380	3702.AT5G51380.1
AT4G28150	
AT4G28150	3702.AT4G28150.1
AT4G28150	
AT3G36659	
AT1G20840	3702.AT1G20840.1
AT1G20840	3702.AT1G20840.1
AT4G33040	3702.AT4G33040.1
AT1G45050	3702.AT1G45050.1
AT1G45050	
AT5G61770	
AT5G61770	
AT5G61770	3702.AT5G61770.2
AT3G58970	3702.AT3G58970.1
AT1G52500	
AT1G52500	
AT1G52500	3702.AT1G52500.2
AT1G52500	
AT1G52500	
AT5G58750	3702.AT5G58750.1
AT5G58750	
AT3G13010	3702.AT3G13010.1
AT1G10430	3702.AT1G10430.1
AT1G10430	3702.AT1G10430.1
AT3G01820	3702.AT3G01820.1
AT2G31865	3702.AT2G31865.2
AT2G31865	
AT2G31865	
AT3G54630	3702.AT3G54630.1
AT1G05670	3702.AT1G05670.2
AT1G05670	3702.AT1G05670.2
AT1G05670	3702.AT1G05670.2
AT5G66240	
AT5G66240	
AT5G66240	3702.AT5G66240.2
AT4G19990	
AT4G19990	
AT4G19990	
AT4G19990	
AT4G19990	
AT4G19990	
