gene_id (Stringtie)	gene_id (Stringtie_gtf)	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	HG1	HG2	HG3	DG1	DG2	DG3	
MSTRG.3274	MSTRG.3274_jg27338	1200.498049	2.842826035	0.299162692	9.502608809	2.05E-21	6.80E-19	381.6758841	257.2371178	244.8083072	2224.181588	2413.16105	1681.924347	
MSTRG.27336	MSTRG.27336_jg17523	15808.03018	2.029828292	0.215646208	9.412770639	4.83E-21	1.57E-18	6575.883106	6006.486701	6076.346192	21772.87771	24529.3843	29887.2031	
MSTRG.16051	MSTRG.16051_jg2231	3010.275492	2.355381898	0.250518059	9.402044324	5.35E-21	1.71E-18	1152.161781	870.7476438	931.291602	5906.699748	4174.730733	5026.021446	
MSTRG.15805	MSTRG.15805_jg1988	543.6132844	-3.172388384	0.33765268	-9.395418937	5.70E-21	1.80E-18	775.8364933	892.6127988	1266.88299	117.016228	80.18614687	129.1450492	
MSTRG.31377	MSTRG.31377_jg1115	4409.393382	-4.007786763	0.427977115	-9.36448847	7.64E-21	2.39E-18	11441.35886	7539.619923	5927.421138	559.7567325	718.5183869	269.6852499	
MSTRG.27338	MSTRG.27338_jg17525	17226.78474	2.04263456	0.218756671	9.337473233	9.87E-21	3.05E-18	7169.799318	6409.06279	6609.824295	23666.96874	26760.7059	32744.3474	
MSTRG.34075	MSTRG.34075_jg31208	784.0675328	2.056654533	0.22081556	9.313902195	1.23E-20	3.76E-18	303.2004687	275.2437161	332.531284	1355.292432	1161.120662	1277.016634	
MSTRG.27311	MSTRG.27311_genb_29226	204.6571549	3.314620678	0.357982644	9.25916588	2.06E-20	6.22E-18	48.15536855	36.01319649	29.58100379	314.3719558	378.2008029	421.6206019	
MSTRG.13019	MSTRG.13019_jg20513	1351.250236	-2.707223014	0.293075838	-9.237278084	2.53E-20	7.54E-18	2354.262463	2252.110966	2423.602241	436.6277164	244.3467625	396.5512688	
MSTRG.27121	MSTRG.27121_jg17311	2259.351041	-4.67647771	0.506580553	-9.2314592	2.67E-20	7.88E-18	6731.050404	3870.132438	2445.022968	192.9894507	238.6642797	78.2467063	
MSTRG.22927	MSTRG.22927_jg12919	400.2572075	5.964274491	0.646983873	9.218582929	3.01E-20	8.69E-18	0	10.28948471	25.50086533	704.7171343	809.4381125	851.5976482	
MSTRG.278	MSTRG.278_jg15662.1	941.8497131	-2.39513924	0.261316116	-9.16567748	4.92E-20	1.41E-17	1790.666297	1672.041266	1286.263647	312.625445	336.529262	252.9723612	
MSTRG.590	MSTRG.590_jg15955	4017.468486	2.420832623	0.265252344	9.126526771	7.07E-20	2.00E-17	904.2508095	1450.817344	1435.188701	6863.787702	6890.957535	6559.808825	
MSTRG.23908	MSTRG.23908_jg13850	1300.920997	-3.367176181	0.368996584	-9.125223189	7.16E-20	2.00E-17	3299.534512	1947.284982	1868.703412	316.9917221	186.890547	186.1208063	
MSTRG.35875	MSTRG.35875_jg18616	3662.574676	2.300946486	0.252638616	9.107659475	8.42E-20	2.33E-17	1430.392799	1157.56703	1121.01804	5620.271966	5201.365968	7444.83225	
MSTRG.9714	MSTRG.9714_jg24325	20524.06515	-2.828940845	0.310742677	-9.103805355	8.72E-20	2.39E-17	51392.47944	28865.86318	27693.93975	5056.148956	5206.417063	4929.542497	
MSTRG.27118	MSTRG.27118_jg17308	1390.752309	-4.653193443	0.511324446	-9.100275727	9.01E-20	2.44E-17	4196.651193	2375.584783	1453.549324	124.0022715	144.5876192	50.13866618	
MSTRG.35002	MSTRG.35002_jg17784	3247.804959	5.457978592	0.604865464	9.023458794	1.82E-19	4.83E-17	76.69188325	165.917941	189.7264381	2425.903593	12479.99511	4148.594788	
MSTRG.26463	MSTRG.26463_jg16670	1185.070772	-2.593268967	0.28761029	-9.016607033	1.94E-19	5.09E-17	1856.656988	2235.390554	2008.448154	256.7370973	439.4453403	313.746502	
MSTRG.27115	MSTRG.27115_jg17306	1329.154302	-4.676508443	0.519202157	-9.007105196	2.12E-19	5.50E-17	4043.267426	2259.82808	1371.946555	115.2697171	138.2737493	46.34028237	
MSTRG.34933	MSTRG.34933_jg17719	800.3338576	-7.04069039	0.782594868	-8.996596677	2.33E-19	5.97E-17	3363.74167	809.0107355	592.6401104	23.57789669	3.156934916	9.875797883	
MSTRG.27930	MSTRG.27930_jg4123	1786.842558	-2.498974912	0.277786464	-8.996028389	2.34E-19	5.97E-17	3089.077716	3245.046241	2775.514183	620.0113573	609.2884388	382.1174104	
MSTRG.32910	MSTRG.32910_jg29974	995.1045162	-2.641051044	0.294134289	-8.979065482	2.73E-19	6.89E-17	2268.652918	1582.008275	1295.443959	289.9208037	270.2336288	264.3675126	
MSTRG.27312	MSTRG.27312_jg17502	1059.080482	2.721911425	0.304577442	8.93668094	4.01E-19	1.00E-16	385.2429484	217.3653646	236.6480303	1894.964289	1945.934682	1674.32758	
MSTRG.6232	MSTRG.6232_jg15026	1081.32654	-2.95216827	0.331425045	-8.907499043	5.22E-19	1.29E-16	2104.567959	1897.123744	1744.259189	167.6650431	227.9307009	346.4126027	
MSTRG.27131	MSTRG.27131_jg17321	1445.572728	-4.690716434	0.528135755	-8.881649063	6.59E-19	1.62E-16	4414.242117	2429.604578	1506.591124	115.2697171	159.1095198	48.61931266	
MSTRG.8458	MSTRG.8458_jg6684	11076.68302	2.849628348	0.322038087	8.848730818	8.85E-19	2.13E-16	2022.525479	3180.736962	2891.798129	26367.9478	15679.23295	16317.85681	
MSTRG.32041	MSTRG.32041_jg29150	114.7735173	-4.582947469	0.518477621	-8.839238738	9.64E-19	2.26E-16	187.2708777	201.9311375	271.3292072	15.71859779	6.313869832	6.077414082	
MSTRG.33691	MSTRG.33691_jg30845	26919.97285	2.366596142	0.267717469	8.839901809	9.58E-19	2.26E-16	6278.033233	9422.595626	10528.79728	42520.55354	44893.50867	47876.34878	
MSTRG.3384	MSTRG.3384_jg27446	586.5441158	-3.711759633	0.421192352	-8.812504821	1.22E-18	2.84E-16	1690.788496	874.6062006	704.8439179	75.97322266	105.4416262	67.61123166	
MSTRG.21013	MSTRG.21013_jg33374	276.2309474	2.980033703	0.33968954	8.77281562	1.74E-18	4.01E-16	49.93890072	55.30598033	79.56269985	546.657901	524.0511961	401.8690062	
